image,caption
1000268201_693b08cb0e.jpg,분홍색 드레스를 입은 아이가 입구로 계단을 오르고 있습니다.
1000268201_693b08cb0e.jpg,목조 건물에 들어가는 소녀.
1000268201_693b08cb0e.jpg,나무 극장으로 등반하는 어린 소녀.
1000268201_693b08cb0e.jpg,그녀의 극장으로 계단을 오르는 어린 소녀.
1000268201_693b08cb0e.jpg,나무 오두막에 들어가는 분홍색 드레스를 입은 어린 소녀.
1001773457_577c3a7d70.jpg,검은 개와 점박이 개가 싸우고 있습니다.
1001773457_577c3a7d70.jpg,검은 개와 삼색 개가 도로에서 서로 놀고 있습니다.
1001773457_577c3a7d70.jpg,검은 개와 갈색 반점이있는 흰 개가 거리에서 서로를 응시하고있다.
1001773457_577c3a7d70.jpg,서로 다른 품종의 두 개가 도로에서 서로를 찾고 있습니다.
1001773457_577c3a7d70.jpg,서로를 향해 이동하는 포장 도로에 두 개.
1002674143_1b742ab4b8.jpg,페인트로 덮힌 어린 소녀가 그릇에 손으로 그린 ​​무지개 앞에 앉는다.
1002674143_1b742ab4b8.jpg,어린 소녀가 색칠 된 커다란 무지개 앞에 앉아있다.
1002674143_1b742ab4b8.jpg,풀밭에있는 작은 소녀가 무지개가 그려진 하얀 캔버스 앞에서 핑거 페인트를 가지고 놀아요.
1002674143_1b742ab4b8.jpg,무지개 그림 앞에 앉아 땋은 머리를 가진 소녀가 있습니다.
1002674143_1b742ab4b8.jpg,잔디에서 외부 그림 땋은 어린 소녀.
1003163366_44323f5815.jpg,개가 그 옆에 앉아있는 동안 남자는 벤치에 눕는다.
1003163366_44323f5815.jpg,한 남자가 흰 개가 묶인 벤치에 눕는다.
1003163366_44323f5815.jpg,흰색과 검은 색 개가 옆에 앉아있는 야외 벤치에서 자고있는 남자.
1003163366_44323f5815.jpg,벗은 남자가 강아지와 함께 공원 벤치에 누워 있습니다.
1003163366_44323f5815.jpg,바닥에 앉아 개 가죽 끈을 들고 벤치에 누워 남자
1007129816_e794419615.jpg,뭔가를 주연 주황색 모자를 쓴 남자.
1007129816_e794419615.jpg,한 남자가 주황색 모자와 안경을 쓰고 있습니다.
1007129816_e794419615.jpg,게이지와 안경을 쓴 남자가 Blitz 모자를 쓰고 있습니다.
1007129816_e794419615.jpg,안경을 든 남자가 맥주 캔을 편물로 뜨개질 한 모자를 쓰고 있습니다.
1007129816_e794419615.jpg,귀를 뚫은 남자는 안경과 주황색 모자를 쓰고있다.
1007320043_627395c3d8.jpg,밧줄 그물에 노는 아이.
1007320043_627395c3d8.jpg,빨간색 roping 등반 어린 소녀입니다.
1007320043_627395c3d8.jpg,분홍색 옷을 입은 소녀가 공원에서 밧줄 다리를 올라갑니다.
1007320043_627395c3d8.jpg,작은 아이가 놀이터에서 빨간 밧줄을 잡습니다.
1007320043_627395c3d8.jpg,어린 아이가 놀이터에서 빨간 밧줄을 타고 올라갑니다.
1009434119_febe49276a.jpg,흰색 울타리로 둘러싸인 풀이 무성한 정원에서 흑백 개가 달리고 있습니다.
1009434119_febe49276a.jpg,흑인과 백인 개가 잔디를 달리고 있습니다.
1009434119_febe49276a.jpg,보스턴 테리어가 풀밭에서 달리고 있습니다.
1009434119_febe49276a.jpg,보스톤 테리어가 하얀 울타리 앞의 무성한 푸른 잔디 위에서 달리고 있습니다.
1009434119_febe49276a.jpg,개는 나무 울타리 근처의 푸른 잔디에서 실행됩니다.
1012212859_01547e3f17.jpg, 개가 해안 근처에서 고개를 저으며
1012212859_01547e3f17.jpg,하얀 개가 오렌지 공을 들고 해변 가장자리에서 흔들립니다.
1012212859_01547e3f17.jpg, 발에 주황색 공을 가진 개
1012212859_01547e3f17.jpg,물 근처에 빨간 공을 가지고 노는 흰 개.
1012212859_01547e3f17.jpg,갈색 귀를 가진 흰 개가 물 근처에 서서 머리를 한쪽으로 돌렸다.
1015118661_980735411b.jpg,한 소년이 도시의 돌담 앞에서 미소를 짓고있다.
1015118661_980735411b.jpg,작업복을 입은 남자가 돌담을 작업하는 동안 어린 소년이 거리에 서 있습니다.
1015118661_980735411b.jpg,한 어린 소년이 길 건너편에 달린다.
1015118661_980735411b.jpg,어린 아이가 금속 기둥과 그 뒤에있는 남자와 함께 돌로 포장 된 거리를 걷고있다.
1015118661_980735411b.jpg,흰 셔츠와 그 뒤에 바지에 남자와 바위 벽 앞에서 청바지에 웃는 소년.
1015584366_dfcec3c85a.jpg,검은 개가 통나무를 뛰어 넘는다.
1015584366_dfcec3c85a.jpg,회색 개가 쓰러진 나무 위로 뛰어 내리고있다.
1015584366_dfcec3c85a.jpg,큰 검은 개가 쓰러진 통나무를 뛰어 넘는다.
1015584366_dfcec3c85a.jpg,타락한 나무 위로 점프하는 블루 칼라의 얼룩덜룩 한 검정과 회색 개.
1015584366_dfcec3c85a.jpg,검은 개는 나무 그루터기를 뛰어 넘었다.
101654506_8eb26cfb60.jpg,갈색과 흰색의 개가 눈을 달리고 있습니다.
101654506_8eb26cfb60.jpg,개가 눈 속에서 달리고있다
101654506_8eb26cfb60.jpg,눈을 통해 달리는 개.
101654506_8eb26cfb60.jpg,흰색과 갈색 개가 눈이 덮인 들판을 달리고 있습니다.
101654506_8eb26cfb60.jpg,흰색과 갈색의 개가 눈 표면을 달리고 있습니다.
101669240_b2d3e7f17b.jpg,모자를 쓴 남자가 파란색 모자를 쓴 스키어 옆에 사진을 표시하고 있습니다.
101669240_b2d3e7f17b.jpg,한 남자가 눈 속에서 그림을 보여주는 다른 남자를 지나쳐 지나간다.
101669240_b2d3e7f17b.jpg,눈 속에 설치된 액자 사진을보고있는 스키를 입은 사람.
101669240_b2d3e7f17b.jpg,한 스키어가 나무 옆에있는 눈 속에서 액자 사진을 본다.
101669240_b2d3e7f17b.jpg,눈 속에서 판매를위한 작품을보고 스키에 남자
1016887272_03199f49c4.jpg,절벽을 오르는 한 사람의 콜라주.
1016887272_03199f49c4.jpg,한 무리의 사람들이 암벽 등반 벽에 암벽 등반을하고 있습니다.
1016887272_03199f49c4.jpg,한 사람이 빌레이하는 동안 암벽을 오르는 사람들
1016887272_03199f49c4.jpg,일곱 명의 등반가가 암벽을 오르고 다른 사람이 밧줄을 잡고 서 있습니다.
1016887272_03199f49c4.jpg,붉은 옷을 입은 남자가 줄을 잡고있는 동안 여러 명의 등반가들이 암벽을 오르고 있습니다.
1019077836_6fc9b15408.jpg,갈색 개가 잔디밭의 스프링클러에서 물을 쫓습니다.
1019077836_6fc9b15408.jpg,갈색 개가 호스를 가지고 놀아요.
1019077836_6fc9b15408.jpg,정원 호스 근처 잔디밭에서 달리는 갈색 개
1019077836_6fc9b15408.jpg,개가 호스를 가지고 놀고있다.
1019077836_6fc9b15408.jpg,잔디의 스프링클러에서 도망가는 큰 갈색 개.
1019604187_d087bf9a5f.jpg,개는 근처의 자동차와 함께 들판에 던져진 물건을 잡을 준비를합니다.
1019604187_d087bf9a5f.jpg,하얀 개가 입에 노란색 공을 잡으려고합니다.
1019604187_d087bf9a5f.jpg,흰색 개가 노란색 개 장난감을 잡으려고합니다.
1019604187_d087bf9a5f.jpg,하얀 개가 공중을 날아 다니는 노란 공을 잡을 준비가되어 있습니다.
1019604187_d087bf9a5f.jpg,노란 공을 쫓는 흰 개
1020651753_06077ec457.jpg,장난감을 얻기 위해 공중에서 점프하는 흑인과 백인 개.
1020651753_06077ec457.jpg,흑인과 백인 개가 노란색 장난감을 향해 점프합니다.
1020651753_06077ec457.jpg,개는 필드에서 공을 잡기 위해 도약합니다.
1020651753_06077ec457.jpg,흰 개가 잔디밭 위의 공중에서 공을 잡으려고합니다.
1020651753_06077ec457.jpg,흰 개가 노란색 장난감을 들고 녹색 들판에서 놀고있다.
1022454332_6af2c1449a.jpg,한 아이와 한 여자가 대도시의 물가에있다.
1022454332_6af2c1449a.jpg,그것의 가장자리 주위에 여러 사람과 함께 수영하는 외로운 오리와 함께 큰 호수.
1022454332_6af2c1449a.jpg,오리를보고 호수에서 어린 소년.
1022454332_6af2c1449a.jpg,어린 소년이 녹색 공원으로 둘러싸인 물속에서 오리를 향해 손을 흔든다.
1022454332_6af2c1449a.jpg, 두 사람이 호수 가장자리에
1022454428_b6b660a67b.jpg, 부부와 유아
1022454428_b6b660a67b.jpg,부부는 아기와 유모차와 함께 풀밭에 앉아 있습니다.
1022454428_b6b660a67b.jpg,호수를 향한 나무 아래에 앉아있는 신생아와 커플.
1022454428_b6b660a67b.jpg,남자와 여자가 ​​물가에서 유아를 돌 봅니다.
1022454428_b6b660a67b.jpg,아기와 함께 부부는 유모차 옆에 야외에서 앉아 있습니다.
1022975728_75515238d8.jpg,서핑에서 달리는 검은 개.
1022975728_75515238d8.jpg,태그가 달린 검은 실험실이 물속에서 뛰어 놀고 있습니다.
1022975728_75515238d8.jpg,개가 물에 튀다
1022975728_75515238d8.jpg,검은 개는 물을 통해 실행됩니다.
1022975728_75515238d8.jpg,이것은 물에 튀는 검은 개입니다.
102351840_323e3de834.jpg,얼음에 구멍을 뚫는 남자.
102351840_323e3de834.jpg,한 남자가 얼어 붙은 연못의 얼음을 뚫고있다.
102351840_323e3de834.jpg,눈 속의 사람이 얼음 구멍을 뚫고 있습니다.
102351840_323e3de834.jpg,얼어 붙은 호수에 서있는 사람.
102351840_323e3de834.jpg,두 사람이 얼음 낚시를하고 있습니다.
1024138940_f1fefbdce1.jpg,두 종류의 갈색과 흰색 개가 해변에서 놀고 있습니다.
1024138940_f1fefbdce1.jpg,두 마리의 개가 부드러운 모래 해변에서 방향을 바꾸고 있습니다.
1024138940_f1fefbdce1.jpg,해변에서 모래에 노는 두 개.
1024138940_f1fefbdce1.jpg,해변에서 함께 연주 두 개입니다.
1024138940_f1fefbdce1.jpg,두 마리의 큰 황갈색 개가 모래 사장을 따라 놀고 있습니다.
